epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2091.95,2.63519,0.11927,0.6172,0.94108,0.3214,0.38509,0.2111,2.72173,0.12792,0.57269,0.000169427,0.000169427,0.000169427
75,2119.46,2.72171,0.12082,0.61167,0.90157,0.33713,0.38348,0.21086,2.7341,0.12827,0.57348,0.000157811,0.000157811,0.000157811
76,2145.25,2.67288,0.11951,0.61314,0.90214,0.33349,0.39257,0.21464,2.73997,0.12953,0.57172,0.000146532,0.000146532,0.000146532
77,2170.49,2.68176,0.11992,0.61436,0.94078,0.33583,0.39787,0.21641,2.72514,0.1262,0.57043,0.000135602,0.000135602,0.000135602
78,2197.49,2.70694,0.12005,0.61285,0.88472,0.33942,0.39115,0.20698,2.70185,0.12567,0.57264,0.000125032,0.000125032,0.000125032
79,2223.16,2.5954,0.11826,0.61932,0.87154,0.35158,0.38396,0.20554,2.72994,0.12653,0.57333,0.000114832,0.000114832,0.000114832
80,2249.69,2.67738,0.11957,0.6087,0.88412,0.33872,0.38588,0.20375,2.70001,0.12505,0.57454,0.000105012,0.000105012,0.000105012
81,2276.26,2.68631,0.11958,0.61292,0.88769,0.33875,0.39843,0.21562,2.69989,0.12456,0.57336,9.5582e-05,9.5582e-05,9.5582e-05
82,2303.07,2.70078,0.12026,0.61088,0.88225,0.34372,0.39876,0.21445,2.70951,0.12585,0.57324,8.65511e-05,8.65511e-05,8.65511e-05
83,2329.24,2.6235,0.11849,0.61054,0.96084,0.34623,0.40987,0.22163,2.71083,0.12457,0.57394,7.79283e-05,7.79283e-05,7.79283e-05
84,2356.38,2.69196,0.11914,0.6101,0.94144,0.33945,0.40719,0.21954,2.69632,0.12544,0.57374,6.9722e-05,6.9722e-05,6.9722e-05
85,2382.47,2.66488,0.11919,0.61419,0.90253,0.34204,0.40524,0.21805,2.69963,0.12475,0.57175,6.19405e-05,6.19405e-05,6.19405e-05
86,2409.01,2.62631,0.11856,0.61523,0.92185,0.33428,0.40348,0.2172,2.69604,0.12493,0.57439,5.45913e-05,5.45913e-05,5.45913e-05
87,2435.53,2.66031,0.11901,0.60858,0.91348,0.33461,0.40137,0.21714,2.70287,0.12432,0.57253,4.76817e-05,4.76817e-05,4.76817e-05
88,2462.77,2.67261,0.11953,0.61181,0.90512,0.33609,0.40279,0.21803,2.71133,0.12484,0.57461,4.12186e-05,4.12186e-05,4.12186e-05
89,2489.35,2.65143,0.11903,0.61115,0.90597,0.33826,0.40402,0.21884,2.70335,0.12403,0.57229,3.52082e-05,3.52082e-05,3.52082e-05
90,2516.09,2.67372,0.11856,0.60924,0.90394,0.34223,0.40884,0.22133,2.69995,0.12398,0.57157,2.96567e-05,2.96567e-05,2.96567e-05
91,2552.8,2.62606,0.11804,0.59628,0.89528,0.34164,0.40479,0.21812,2.70931,0.12416,0.57296,2.45693e-05,2.45693e-05,2.45693e-05
92,2579.39,2.61,0.11779,0.59502,0.89535,0.3419,0.40566,0.21949,2.71456,0.12396,0.57276,1.99512e-05,1.99512e-05,1.99512e-05
93,2605.35,2.59033,0.11733,0.59692,0.90082,0.33982,0.40709,0.22003,2.70134,0.12391,0.57209,1.58068e-05,1.58068e-05,1.58068e-05
94,2632.49,2.66805,0.11833,0.59303,0.90461,0.33838,0.40719,0.2203,2.69886,0.1242,0.57188,1.21404e-05,1.21404e-05,1.21404e-05
95,2658.1,2.58573,0.11733,0.59954,0.90366,0.33832,0.40676,0.22059,2.69983,0.12424,0.57156,8.95549e-06,8.95549e-06,8.95549e-06
96,2684.35,2.61307,0.11737,0.59605,0.90654,0.33687,0.40686,0.21999,2.69735,0.12407,0.57202,6.25521e-06,6.25521e-06,6.25521e-06
97,2710.55,2.59015,0.11791,0.59867,0.90919,0.33601,0.40549,0.21895,2.70018,0.12389,0.57216,4.04226e-06,4.04226e-06,4.04226e-06
98,2736.32,2.60153,0.11735,0.59488,0.90657,0.33713,0.40655,0.21928,2.70177,0.12363,0.57207,2.3188e-06,2.3188e-06,2.3188e-06
99,2762.29,2.58983,0.11725,0.59544,0.9075,0.33779,0.40702,0.21927,2.70525,0.12377,0.57198,1.08654e-06,1.08654e-06,1.08654e-06
100,2788.52,2.57891,0.11733,0.59611,0.90647,0.33806,0.40733,0.21988,2.70027,0.12354,0.57194,3.46695e-07,3.46695e-07,3.46695e-07
